id;tweet;caption;ner;sa
317066;RT @victoiregarnier : Alex had a great 8th Birthday Party @hotelfootballuk Having @GNev2 join in the fun made his day ! http://t.co/ZzCN3FwAf9;man holding blue balloon;O O O B-PER O O O O O O O O O O O O O O O O O O O O O O;POSITIVE
589703;"RT @TMZ : "" Walking Dead "" star , Seth Gilliam , ARRESTED for DUI , weed , and triple-digit speeding http://t.co/M4t6U5qV2K http://t.co/bSZ88kossr";person was arrested after a car accident;O O O O B-OTHER I-OTHER O O O B-PER I-PER O O O B-OTHER O O O O O O O O O O O O O O O;NEGATIVE
72512;AK Park , Wabash Ave http://t.co/BTrsUnTlos;a row of buildings;B-LOC I-LOC O B-LOC I-LOC O O O O O;NEGATIVE
1299485;Looking for a great moms group in Peoria ? Join us starting Sept 16th ! http://t.co/SuKvqee4ls #parenting #peoria http://t.co/C5lj7m5kvH;i like the fonts and the fonts in the middle.;O O O O O O O B-LOC O O O O O O O O O B-LOC O O O O O O O O O O O;POSITIVE
268501;RT @LFC : #LFC can confirm that Steven Gerrard is to leave the club at the end of the 2014-15 season #LFCicon http://t.co/an6AjmFgvE;football player has been named award category;O O O B-ORG O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O;NEGATIVE
151567;RT @JimBeam : Egypt has pyramids , we have rackhouses . Visit the Jim Beam American Stillhouse http://t.co/2tvkUNKPJi http://t.co/dOro4Misls;the building is white;O O O B-LOC O O O O O O O O O B-LOC I-LOC I-LOC I-LOC O O O O O O;NEGATIVE
12609;RT @NBABeLike : Paul Pierce be like http://t.co/6ZO3Knr17s;person and basketball player play a game of football on the sidewalk.;O O O B-PER I-PER O O O O O O O O O O O O O O O;NEGATIVE
140364;RT @UNEP : Ahead of World Water Week : http://t.co/TUc4rnLii5 Water for development. http://t.co/hfYa99IvqS;a large body of water;O O O O O B-OTHER I-OTHER I-OTHER O O I-OTHER O O O O O O O O;POSITIVE
15424;RT @ajam : Charleston church re-opens after shooting , amid nationwide mourning http://t.co/uYRiu5O4mY via @tomkutsch http://t.co/5vUNiaAmPT;person, president, is seen here during a ceremony.;O O O B-OTHER I-OTHER O O O O O O O O O O O O O O O O O O O;NEGATIVE
213820;RT @JonMatthewsDS : Driving test Leicester Jon Matthews Driving School : http://t.co/Zf0tOasjUE http://t.co/IXiIgDVmPu;man holding a piece of paper;O O O I-ORG O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O;NEGATIVE
323182;At University of Swat . These snaps r from the VC office which include the Master plan . A great location 4 new campus http://t.co/PhpEuyDpzV;a poster for the exhibition;O B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O;NEGATIVE
750200;RT @YepillPosts : REMEMBER MIGUEL BROKE THAT GIRL NECK LMAO http://t.co/2bjyst1NMu;pop artist and pop artist on the set of their new movie;O O O O B-PER O O O O O O O O O O O O O O O O O O;NEGATIVE
282116;RT @alphabetsuccess : In Living Color by Pena Salehi https : //t . co/lRHsQF68In http://t.co/5MINWNxroH;sunset over the river by person;O O O O O O O B-PER I-PER O O O O O O O O O O O O;NEGATIVE
12615;@PerSources14 Gregg Popovich was asked about Becky Hammon and the social progress the NBA has made . Via : @SBNationNBA http://t.co/sJr1QQoGhR;i'm not sure if i'm not a fan of this man.;O B-PER I-PER O O O B-PER I-PER O O O O O B-OTHER O O O O O O O O O O O O O O O O O O;NEGATIVE
10964;RT @femalemodelsbot : Abbey Lee Kershaw ( Australian model , born in 1987 ) for Vogue China May 2012 http://t.co/xluMSG10i0;woman wearing a necklace;O O O B-PER I-PER I-PER O O O O O O O O O B-OTHER I-OTHER O O O O O O O;NEGATIVE
856183;RT @WiredUK : Minecraft creator Notch says his billions have made him miserable http://t.co/wMnoZp2hLv http://t.co/iUogGT6d3N;man with a beard;O O O B-OTHER O B-PER O O O O O O O O O O O O O;NEGATIVE
1482819;RT @FindMyBikeYYC : Is this your frame ? Found near the elbow river in Stanley park . http://t.co/gAo5XJ07z3;a green bike with a broken front wheel;O O O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O O O;NEGATIVE
627764;Claude Richmond has a smart way to fix the Senate . His column today in NewsKamloops . http://t.co/1XpNbERcI5 http://t.co/IffI1moyQA;the parliament building in the background;B-PER I-PER O O O O O O O B-ORG O O O O O O O O O O O O O O O;POSITIVE
1061636;Cristo Redentor versus Spirito #Dynamo ! http://t.co/WOHFESmqM2;the world's largest statue of builder;B-LOC I-LOC O O B-PER O O O O O O O O;POSITIVE
1486617;RT @steventurous : This Pluto image is really stunning . http://t.co/P3bJN0v46h;digital art selected for the #;O O O O B-OTHER O O O O O O O O O O O O;POSITIVE
369143;RT @Cheekfinneser : When meek mills hear Nicki talking about back to back http://t.co/97KIWgrO9y;cartoon of a man eating pizza;O O O O B-PER I-PER O B-PER O O O O O O O O O O O O;NEGATIVE
23954;RT @The _ Millions : Ebook find of the day : CASE HISTORIES by Kate Atkinson for $ 2 . 99 http://t.co/WNKFhyoyC8 http://t.co/rmm5fPeD5S;book cover of the book;O O O O O O O O O O O B-OTHER I-OTHER O B-PER I-PER O O O O O O O O O O O O;NEGATIVE
1495458;RT @nycsouthpaw : Sophie , Duchess of Hohenburg , was murdered with husband in Sarajevo 100 years ago today . http://t.co/5FTUWuSlan;the front page of the newspaper.;O O O B-PER O O O B-LOC O O O O O O B-LOC O O O O O O O O O O O O;NEGATIVE
65245;RT @artoftheserpent : Simon Prades , Sunday Afternoons Feelings . http://t.co/Kz9FeYVfnI;digital art selected for the #;O O O B-PER I-PER O O O O O O O O O O O O;NEGATIVE
113422;Germany greets refugees with help and kindness at Munich central station http://t.co/ZUpeDOJDZB http://t.co/n6Ak5WJNo2;police officers talking to a police officer;B-LOC O O O O O O O B-LOC O O O O O O O O O O O;POSITIVE
534625;RT @Lakers : Big Roy getting in some #LakersWork with @tdathletesedge before meeting with the media . http://t.co/x0JlxVPJod;person at the gym during a training session.;O O O O B-PER O O O O O O O O O O O O O O O O O O O O O;NEGATIVE
1113803;Such tragedy of a young 17 year old who lost her life at the Sandia Crest in #ABQ http://t.co/Qze8ts6pt3 http://t.co/FTd8M5JyBL;a group of people are seen on a stretcher.;O O O O O O O O O O O O O O B-LOC I-LOC O B-LOC O O O O O O O O O O O;NEGATIVE
15272;RT @Colorlines : Langston Hughes Warned Us About Trolls Like Don Lemon http://t.co/v7wCoM5Osx http://t.co/DwOV6lKu8r;video : the video shows a man holding a sign that reads;O O O B-PER I-PER O O O B-OTHER O B-PER I-PER O O O O O O O O O O O O O O;NEGATIVE
65565;RT @EarthPics _ HD : Silver Falls , Oregon http://t.co/RulgE3iCWT;a mossy tree grows over a river;O O O O O B-LOC I-LOC O B-LOC O O O O O O O O;NEGATIVE
869732;Morning coffee before I go watch Pacific Rim . . . . . # excited . . . http://t.co/l8E2wEZWUR;a silver tea pot;O O O O O O B-OTHER I-OTHER O O O O O O O O O O O O O O O;NEGATIVE
995927;RT @TelegraphNews : Jamie Oliver snaps up new multi-million pound mansion in Hampstead http://t.co/6FMNm71TUD http://t.co/j0hSfF1zlV;the property is on the market for £ 1. 5 million;O O O B-PER I-PER O O O O O O O B-LOC O O O O O O O O O O O O O;NEGATIVE
971737;@mchlkf because the world is tired of Daniel Craig . We need a new James Bond . 007 with robot legs is more relatable http://t.co/ud6prcT5yR;man wearing a black suit;O O O O O O O B-PER I-PER O O O O O B-PER I-PER O O O O O O O O O O O O O O;NEGATIVE
556964;In honor of #EMS week , Henry Ford West Bloomfield Hospital president @lmtoros &amp , the ER Team visited local firehouses . http://t.co/X6NwVeS82T;person, person, person, and actor, person, person, person, person, person, person, person, and person, person, person, person, person, person, person,;O O O B-ORG O O O O O O O O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O;NEGATIVE
689063;News : IPC President Sir Philip Craven named @SportsBusiness Innovator of the Year http://t.co/UPbsJYP5Hq http://t.co/xPVoeZeUO9;man in a suit and glasses;O O B-ORG O B-PER I-PER I-PER O O O O O O O O O O O O O O;POSITIVE
810107;RT @HockeyAlberta : Team Alberta Male Honourary Captain Joe Colborne speaking to the players in attendance ! #CWG http://t.co/sGLxePDaSv;person is the new player.;O O O B-OTHER I-OTHER I-OTHER I-OTHER O B-PER I-PER O O O O O O O B-ORG O O O O O O;POSITIVE
555689;RT @BEAUTIFULPlCS : Manarola , #Italy . Photo by Lars Kehrel . http://t.co/AXQvIM6bze;the most beautiful places in the world;O O O B-LOC O B-LOC O O O B-PER I-PER O O O O O O O O O;POSITIVE
146252;RT @MuggleNet : Wishing Dame Maggie Smith a very Happy Birthday today ! #HappyBirthdayMaggieSmith http://t.co/FtwZ97D52q;the many faces of tv character;O O O O B-PER I-PER I-PER O O O O O O O O O O O O O O;POSITIVE
62358;"RT @OnlyHipHopFacts : When Kendrick said "" I can dig rappin ' But a rapper with a ghost writer ? What the fuck happened ? "" http://t.co/90eFvwuPzE";rhythm and blues artist performs at awards;O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O;NEGATIVE
70048;RT @LauraWhitehead0 : best episode of Catfish 🙌 http://t.co/inXof8m32w;i'm in love with this man;O O O O O O B-OTHER O O O O O O O O;POSITIVE
62273;ATTENTION : It seems as if incest has spread north to downtown Knoxville . Hide all small children and women #Bammers http://t.co/FMPuqFF4gM;man wearing red shirt;O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O;NEGATIVE
73702;Rise and shine at Jerusalem City Hall http://t.co/0LAfaqBXws;reflection of building in window;O O O O B-LOC I-LOC I-LOC O O O O O O;POSITIVE
1304513;"RT @WNTonight : Hillary Clinton says Joe Biden "" could be a good president . "" http://t.co/Ca7tAGvs2s http://t.co/YOqobQHwHy";politician : i think he could be a good person.;O O O B-PER I-PER O B-PER I-PER O O O O O O O O O O O O O O O O O O O O;NEGATIVE
70417;CPS says Dyett High to reopen as arts-focused school , hunger strikers not appeased http://t.co/Odv3Mased9 http://t.co/a1Thw5o9UD;people wait for the bus.;B-ORG O B-ORG I-ORG O O O O O O O O O O O O O O O O O;NEGATIVE
15454;RT @SportsNation : THIS PICTURE RULES U . S . A . http://t.co/CJ12cN6SXM;football player celebrates after scoring a goal during the football match.;O O O O O O O O O O O O O O O O O O O O O O O O;POSITIVE
65347;RT @RembranceOfPast : An East German soldier helps a boy found on the opposite side of the Berlin Wall from his family , 1961 . http://t.co/8o…;a soldier and a child;O O O O O O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O O;NEGATIVE
1045634;RT @OlivierAwards : ON THIS DAY in 1987 , Bob Fosse died . He won an incredible 8 @TheTonyAwards for his choreography . http://t.co/PK8irkwnB2;person, a dancer, is a dancer, and a dancer.;O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O;POSITIVE
1792882;RT @KTLA : #BREAKING : Car fire reported in Silver Lake , Details on KTLA http://t.co/45F1usaxCr http://t.co/oUK9pjJBVc;a car is seen on fire.;O O O O O O O O O B-LOC I-LOC O O O B-ORG O O O O O O O O;NEGATIVE
1413062;RT @louisa _ compton : This is great from the BBC #valueformoney http://t.co/WjK04ijme6;the website for the website;O O O O O O O O O O B-ORG O O O O O O O;POSITIVE
93460;"2011 . One of fave #TCMFF s . Debbie Reynolds signed pass "" To Debbie # . "" Said the # sign meant "" too "" b/c of my name . http://t.co/dj1sR9coFj";a collection of my new cards.;O O O O O O O O B-PER I-PER O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O;NEGATIVE
407264;One of our favourite videos this season . Wesley Sneijder leading his own Galatasaray chant . http://t.co/sTnIT2KnHn;the fans were in full force as they watched their team's final game;O O O O O O O O B-PER I-PER O O O B-ORG O O O O O O O O O O O O O O O O;POSITIVE
575711;Get the new Poudre School District App for quick access to student &amp , district info ! http://t.co/3uUnGqrmSR http://t.co/rvPCPvwmgb;free download from the website;O O O B-OTHER I-OTHER I-OTHER I-OTHER O O O O O O O I-OTHER O O O O O O O O O;NEGATIVE
840854;Nokia Is Gearing Up fo . . . http://t.co/s844Sj1Jza #Marketing #Socialmedia #Mercadotecnia | https://t.co/cyAF0hSUes http://t.co/Yu2Ajme49r;the word in the dark;B-ORG O O O O O O O O O O O O O O O O O O O;NEGATIVE
495612;RT @ThatBucketList : I need a holiday to Hawai http://t.co/QVrW2IrQ7C;a turtle swims through the clear waters of a tropical island.;O O O O O O O O B-LOC O O O O O O O O O O O O;POSITIVE
670554;RT @iAmRealSmoove : Life of Kanye http://t.co/g4lawQau36;i'm not sure if this is a man or a man.;O O O O O B-PER O O O O O O O O O O O O;NEGATIVE
425740;Gloomy #Bali day http://t.co/6lL6eYcqih;a view of the beach;O B-LOC O O O O O O O;NEGATIVE
70920;"RT @MarcMonster : Iggy straight up looks like Spongebob when he became "" Normal "" http://t.co/kZz5Q1mULI";person is the girl who is the girl of the show;O O O B-PER O O O O B-OTHER O O O O O O O O O O O O O O O O O O;NEGATIVE
70666;Celebration in Las Vegas ! http://t.co/9JaVlqHOXs;the water is so cool!;O O B-LOC I-LOC O O O O O O O;POSITIVE
1051340;RT @irunshirtless : Ready to throw down this Sunday in Florianopolis , Brasil . #Ironman #thisisourlab @blueseventy http://t.co/qSntuDY5JG;i'm a sucker for a man in a bike.;O O O O O O O O O O B-LOC O B-LOC O B-ORG O O O O O O O O O O O O;NEGATIVE
50167;RT @ShaukatWarraich : Mashallah with some great people at the Imams Online recent summit . @QariAsim http://t.co/dGSE6YWZLq;a group of men posing for a picture;O O O B-PER O O O O O O B-ORG I-ORG O O O O O O O O O O O O O;NEGATIVE
134113;RT @EASPORTSNBA : The @Raptors should probably wear those @Drake alternates in Philly this season . . . #JustSaying http://t.co/gDaw5FkjNl;sports team are a team of the top players;O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O;POSITIVE
619286;http://t.co/vfdYRTVuHC Living Room Furniture Ottawa http://t.co/kR6OgzG4aD;industry of the - photo sharing!;O O O O B-LOC O O O O O O O;NEGATIVE
403578;ICYMI : Are 2 sports all St . Louis can support ? http://t.co/lJAs1i64zA #STLNFL #stlcards #stlblues #STLRams http://t.co/mxAgcY3NCm;mascots and mascots pose for a photo before the game against american football team.;O O O O O O O O I-LOC O O O O O O O O O O O O O O O O O O O O O O O;NEGATIVE
90403;RT @Iwanrunner : 1 % Hitler #scary http://t.co/bdejUDRa;a man and a woman sitting on a bus.;O O O O O B-PER O O O O O O O O O O O;NEGATIVE
689339;2 weeks til @cpboficial Brazilian Shooting Champs ! Key comp developing #IPCShooting in Americas before @Rio2016 _ en ! http://t.co/M6TuHTAeHK;the logo for the team;O O O O O O O O O O O O O B-LOC O O O O O O O O O O O;NEGATIVE
245058;RT @TheChuckCarroll : Headliner Barry Manilow now going through sound checks . http://t.co/dt3SYy9AfL;country artist performs at the event.;O O O B-OTHER I-OTHER I-OTHER O O O O O O O O O O O O O;NEGATIVE
1834906;RT @Oval _ station : Friday 12th June Thought Of The Day From Oval Station By Sir Christopher Lee 1922 - 2015 RIP http://t.co/lAWMZqcT9W;the sign in the bathroom;O O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O;NEGATIVE
1866367;RT @Tobias _ FJ : A trove of shopfront lettering in Malta : http://t.co/r5y9TTFWDn http://t.co/dMP5Iw7VhQ;this sign was on the wall of a building in the old town of new orleans.;O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O;NEGATIVE
559524;RT @FactsOfSchool : R . I . P . Paul Walker http://t.co/pBb0IlndEd;i'm not sure what this guy is, but i'm not sure if he was a boy.;O O O O O O O O O O O O O O O O O O O O O O O O O O O O;NEGATIVE
1388738;Paoay Church is lovely at night . http://t.co/qQlFTWeafo;the building is white;B-LOC I-LOC O O O O O O O O O O;POSITIVE
1771502;RT @Gabriele _ Corno : Follow Your Dreams . . . . by Mary Schannen #dreamers #ChildhoodMemories http://t.co/SrpEPs2yng;girl playing with bubbles in the park;O O O O O B-OTHER I-OTHER I-OTHER O O O O O B-PER I-PER O O O O O O O O O O;NEGATIVE
379928;RT @UberFootbalI : On this day , 8 years ago , a 19-year old Lionel Messi did this . Wow . http://t.co/9Pmra3r8G5;the game was played on the pitch;O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O;POSITIVE
1359666;RT @CheltenhamRaces : Look out for #charliechicken in Cheltenham this afternoon giving out free race day tickets to Family Funday Sunday ! . . .;a chicken in a closet;O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O;NEGATIVE
917882;RT @BE _ MSprague : What the Seahawks should have done , Tecmo Super Bowl edition : http://t.co/ocCNsVOfaK;the game is a game of game;O O O O O O O B-ORG O O O O B-OTHER I-OTHER I-OTHER O O O O O O O O O O;NEGATIVE
70789;RT @KrekHak : IKEA is leuk , dat is duidelijk . https : //t . co/Bdz42NHUTj;this is what i want to do with my phone;O O O B-OTHER O O O O O O O O O O O O O O O O O O O O O O;NEGATIVE
363969;RT @JacketTV : Mr Tuff presented by Wynne Fumble Club -Austin Brock http://t.co/bUQBSxsE9T;person and his son, both of whom are both winners.;O O O B-PER I-PER O O B-ORG I-ORG I-ORG O I-PER O O O O O O O O O O O;NEGATIVE
1342471;RT @kingsthings : Happy birthday @wizkhalifa ! I bet I can guess how Wiz is spending his day . . . http://t.co/tLToXJoomh http://t.co/j0xLLTMl5t;man wearing a black jacket;O O O O O O O O O O O O O B-PER O O O O O O O O O O O O O O;POSITIVE
36563;RT @1DUpdatesARG _ : #NEW HQ Zayn outside the arena 6/10 #2 http://t.co/2z0pyc61xD;man sitting on skateboard;O O O O O O B-PER O O O O O O O O O O;NEGATIVE
93913;RIP , Luise Rainer . 1910-2014 . http://t.co/TyVCxiPVLN;actor as a young woman;O O B-PER I-PER O O O O O O O O O;NEGATIVE
517964;Poor Batista ! http://t.co/cviCWbutV4;sign advertising a man;O B-PER O O O O O O;NEGATIVE
1794188;RT @bohemianizm : Art from Rachael Speirs http://t.co/KaTGWGwQVE #art #visualart #craft http://t.co/zEDVFLgfDk;the art of painting artist;O O O O O B-PER I-PER O O O O O O O O O O;NEGATIVE
92140;When we obey God then He can allow His presence to fall . Dr . John Bosman #elevatelife #firstfruits #elcexpand http://t.co/K1W17TPI8u;actor and person on stage during a performance.;O O O O O O O O O O O O O O O I-PER I-PER O O O O O O O O O O O O;NEGATIVE
63645;Status of Bo Jordan and Hunter Stieber ? #askcoachryan http://t.co/4zBFd3OOlC;i will be back in the day.;O O B-PER I-PER O B-PER I-PER O O O O O O O O O O;NEGATIVE
120153;RT @pritchett _ dan : They just arrested a 12-year-old girl #Ferguson http://t.co/7osY1tGqvy;police officers standing in a line;O O O O O O O O O O O B-PER O O O O O O O;NEGATIVE
302030;RT @ianbremmer : Still Looking for Putin http://t.co/yeyNfxGINw;politician and his wife, stand on the steps of the building.;O O O O O O B-PER O O O O O O O O O O O O;NEGATIVE
1405149;MACEDONIA - A migrant waits to reach a train heading to the border with Serbia in Gevgelija . By @dilkoff #AFP http://t.co/qIatDV90ph;a father holds his son as he waits for the train.;B-LOC O O O O O O O O O O O O O B-LOC O B-LOC O O O O O O O O O O O O O O O O;NEGATIVE
29193;RT @CBSSunday : What treasures worth at least $ 125K will be gifted to the losers at the Oscars ? http://t.co/xlbl0CnwQZ http://t.co/WhiIRub240;a car is seen in this file photo.;O O O O O O O O O O O O O O O O O O B-OTHER O O O O O O O O O O O;NEGATIVE
2026961;Amazing start to the day today at Passo Dello Stelvio , Italy . #skiing http://t.co/AX6mpPUITW;the fog is white;O O O O O O O B-LOC I-LOC I-LOC O B-LOC O O O O O O O;POSITIVE
1350772;RT @Bipartisanism : The difference between resisting arrest and aggravated assault shown by Peter Griffin . #McKinney http://t.co/HUkpYbuGGR;person and his son in the tv room;O O O O O O O O O O O O O B-PER I-PER O B-LOC O O O O O O O O O;NEGATIVE
65339;RT @RembranceOfPast : In 1963 , wives say goodbye to their loved ones in the Navy . http://t.co/C4Zr4ldbR3;women sit on the side of a ship.;O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O;NEGATIVE
760088;RT @FanJam : Kobe to Shaq : The most infamous alley-oop ever http://t.co/sC7q6I2JaC;basketball shooting guard is a professional basketball player who has been named person.;O O O B-PER O B-PER O O O O O O O O O O O O O O O O O O O O;NEGATIVE
113307;Happy Birthday to Jean Auguste Dominique Ingres ( second attempt ) . http://t.co/jIYyYia8oZ;a woman in a blue dress;O O O B-PER I-PER I-PER I-PER O O O O O O O O O O O O;POSITIVE
71567;RT @chicagotribune : White Sox ' s Adam LaRoche grew up in baseball clubhouses , he wants his son to do the same http://t.co/fdnNH0eOu6 http://…;the new entrance to the new home.;O O O B-ORG I-ORG O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O;NEGATIVE
90471;More selfies ! This time for King and I nominee Ken Watanabe and his beautiful wife . #ny1tonys http://t.co/x8GqGrknMX;the dress is gold;O O O O O O O O O O B-PER I-PER O O O O O O O O O O O;POSITIVE
414512;RT @WanderlustersUK : My 4 Wheeled Adventure Across Nepal http://t.co/I4wXjV0ZR8 #wluk #ttot http://t.co/XnhcdtYRoI;monks in yellow robes at the temple;O O O O O O O O B-LOC O O O O O O O O O O O;NEGATIVE
493590;Uncle Tetsu opening cheesecake factory under the nearby Toronto Coach Terminal http://t.co/mxZsONTPuI http://t.co/4JU0l9SnRm via @ blogto;person, a chef, prepares a dish.;B-ORG I-ORG O O O O O O B-LOC I-LOC I-LOC O O O O O O O O O O O;NEGATIVE
13913;1/2 from Neka Art Museum Ubud . Meaning follows #genprev #AgainstATideOfEvil http://t.co/8ASe9PTmfe;the painting is a work of art.;O O B-LOC I-LOC I-LOC I-LOC O O O O O O O O O O O O O;POSITIVE
119897;"RT @RapUp : The Weeknd and the cast of "" Empire "" pose for the September issue of Vogue http://t.co/DGAQGzohwS http://t.co/5PKs8JtccU";pop artist and hip hop artist pose in a room with their costumes.;O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O O O;NEGATIVE
30481;RT @WSJ : If you invest in property in the Caribbean , you get citizenship http://t.co/x7NGy5J0jl http://t.co/dId2gqnFkw;aerial view of the ship;O O O O O O O O O O B-LOC O O O O O O O O O O O;NEGATIVE
67344;RT @voxdotcom : This is what the students at Ted Cruz ' s announcement were saying on Yik Yak http://t.co/Gaz0V2QW79 http://t.co/uEkEDda4CG;a screenshot of the app that will be released.;O O O O O O O O O B-PER I-PER O O O O O O B-OTHER I-OTHER O O O O O O O O O O O;NEGATIVE
746962;RT @travel _ sisters : Top Things to do in Bandar Seri Begawan , #Brunei http://t.co/SCaXlPz9iw #travel #ttot http://t.co/zeXJKosUpD;reflection of the building;O O O O O O O O O O B-LOC I-LOC I-LOC O O O O O O O O O O;POSITIVE
1321600;RT @BobBrainerd : 6th inning , and fans are filing out of Miller Park to go put some red clothes on . . . http://t.co/zppWhq4CtP;the traffic jam at the junction.;O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O O O;NEGATIVE
464838;@CurbedDetroit : Grayhaven Island in #Detroit has 2 historic waterfront gems on the market : http://t.co/bD7KQoeDYi http://t.co/OYDxiwF865;the house is on the water;O O B-LOC I-LOC O B-LOC O O O O O O O O O O O O O O O O O;NEGATIVE
662863;RT @tetratrak : Demonstrating tetratrak with @MJBAnet at the CCC show in Portland http://t.co/dYq4wZhM7o;a table of information about the event;O O O O O O O O O O O O B-LOC O O O O O O O O;NEGATIVE
195497;RT @TechCrunch : Disrupt London Startup Alley registration is open http://t.co/AL15H8P4Qz http://t.co/7wZq6FjQq2;people line up for an event.;O O O O B-LOC B-LOC I-LOC O O O O O O O O O O O;NEGATIVE
10344;RT @feelinceline : Johnathan Saunders SS11 . This show epitomised sport chic . http://t.co/Y5A3T5Iwa3;a model presents a creation by person during the fashion show.;O O O B-PER I-PER B-OTHER O O O O O O O O O O O O O O O O O O O;NEGATIVE
986156;Delightful Christmas lights on Motcomb Street in Belgravia . http://t.co/rZU2FF9G;a wall on the side of a building;O B-OTHER O O B-LOC I-LOC O B-LOC O O O O O O O O O O;POSITIVE
20276;Here you go Dallas fans . http://t.co/DAoJufovt6;american football player, the eagle, was killed by a bald eagle.;O O O B-LOC O O O O O O O O O O O O O O;NEGATIVE
120280;Another fan of @JSS98Rock ! Say hi to Zailee Noelle Zamostny ! http://t.co/mhVxh9cTMj;person and his new baby girl.;O O O O O O O O B-PER I-PER I-PER O O O O O O O O;NEGATIVE
13569;My thanks to Martha to help me dress carefully for #Ebola treatment centre at Lunsar Sierra Leone @IMC _ Worldwide http://t.co/j4QdpvUf65;person, a nurse, and person, receive treatment at a clinic.;O O O B-PER O O O O O O B-ORG I-ORG I-ORG O B-LOC I-LOC I-LOC O O O O O O O O O O O O O O;POSITIVE
22005;RT @distractedfilm : NEW WAVE NOSTALGIA : Stunning . Jean Seberg . Breathless . http://t.co/fjCXyTufaA;actor in a striped shirt;O O O O O O O O O B-PER I-PER O O O O O O O O O;POSITIVE
